analysis_year,sheet_name,row_count,province_count,annual_national_total_load_gwh,mean_national_hourly_load_gwh,peak_national_hourly_load_gwh,min_national_hourly_load_gwh
2015,2015 load curve,8760,31,5693499.999999997,649.942922374429,903.8491794760951,516.408705149305
2016,2016 load curve,8784,31,5974900.0,680.2026411657561,937.0656538066056,532.5148576645399
2017,2017 load curve,8760,31,6362800.0,726.3470319634703,1023.7896405703798,569.9510476981934
2018,2018 load curve,8760,31,6900100.0,787.6826484018264,1086.7049574898986,615.6961975146774
2019,2019 load curve,8760,31,7248400.000000008,827.4429223744302,1138.1639324670557,650.3870929551106
2020,2020 load curve,8784,31,7521400.000000025,856.2613843351576,1123.3511307559197,672.8590618404374
2021,2021 load curve,8760,31,8331599.999999994,951.0958904109585,1265.3303786560045,749.2179120855096
2022,2022 load curve,8760,31,8637100.000000019,985.9703196347056,1375.408493567102,769.4205492759984
2023,2023 load curve,8760,31,9223799.999999998,1052.945205479452,1428.979034861535,826.6204830697337
2024,2024 load curve,8784,31,9854000.0,1121.8123861566485,1487.934590145959,879.7030839625611
