province_name_en,province_name_cn,province_name_std,raw_header
Anhui,安徽,Anhui,Anhui (安徽)
Beijing,北京,Beijing,Beijing (北京)
Chongqing,重庆,Chongqing,Chongqing (重庆)
Fujian,福建,Fujian,Fujian (福建)
Gansu,甘肃,Gansu,Gansu (甘肃)
Guangdong,广东,Guangdong,Guangdong (广东)
Guangxi,广西,Guangxi,Guangxi (广西)
Guizhou,贵州,Guizhou,Guizhou (贵州)
Hainan,海南,Hainan,Hainan (海南)
Hebei,河北,Hebei,Hebei (河北)
Heilongjiang,黑龙江,Heilongjiang,Heilongjiang (黑龙江)
Henan,河南,Henan,Henan (河南)
Hubei,湖北,Hubei,Hubei (湖北)
Hunan,湖南,Hunan,Hunan (湖南)
Inner Mongolia,内蒙古,Inner Mongolia,Inner Mongolia (内蒙古)
Jiangsu,江苏,Jiangsu,Jiangsu (江苏)
Jiangxi,江西,Jiangxi,Jiangxi (江西)
Jilin,吉林,Jilin,Jilin (吉林)
Liaoning,辽宁,Liaoning,Liaoning (辽宁)
Ningxia,宁夏,Ningxia,Ningxia (宁夏)
Qinghai,青海,Qinghai,Qinghai (青海)
Shaanxi,陕西,Shaanxi,Shaanxi (陕西)
Shandong,山东,Shandong,Shandong (山东)
Shanghai,上海,Shanghai,Shanghai (上海)
Shanxi,山西,Shanxi,Shanxi (山西)
Sichuan,四川,Sichuan,Sichuan (四川)
Tianjin,天津,Tianjin,Tianjin (天津)
Tibet,西藏,Tibet,Tibet (西藏)
Xinjiang,新疆,Xinjiang,Xinjiang (新疆)
Yunnan,云南,Yunnan,Yunnan (云南)
Zhejiang,浙江,Zhejiang,Zhejiang (浙江)
