analysis_year,sheet_name,timestamp_field,row_count,expected_hour_count_from_span,timestamp_non_null_count,timestamp_missing_count,start_timestamp,end_timestamp,province_count,all_province_fields_non_null,annual_national_total_load_gwh,national_peak_hourly_load_gwh,national_min_hourly_load_gwh,coverage_status
2015,2015 load curve,Unit: GWh,8760,8760,8760,0,2015-01-01T00:00:00,2015-12-31T23:00:00,31,True,5693499.999999997,903.8491794760951,516.408705149305,complete_hourly_span
2016,2016 load curve,Unit: GWh,8784,8784,8784,0,2016-01-01T00:00:00,2016-12-31T23:00:00,31,True,5974900.0,937.0656538066056,532.5148576645399,complete_hourly_span
2017,2017 load curve,Unit: GWh,8760,8760,8760,0,2017-01-01T00:00:00,2017-12-31T23:00:00,31,True,6362800.0,1023.7896405703798,569.9510476981934,complete_hourly_span
2018,2018 load curve,Unit: GWh,8760,8760,8760,0,2018-01-01T00:00:00,2018-12-31T23:00:00,31,True,6900100.0,1086.7049574898986,615.6961975146774,complete_hourly_span
2019,2019 load curve,Unit: GWh,8760,8760,8760,0,2019-01-01T00:00:00,2019-12-31T23:00:00,31,True,7248400.000000008,1138.1639324670557,650.3870929551106,complete_hourly_span
2020,2020 load curve,Unit: GWh,8784,8784,8784,0,2020-01-01T00:00:00,2020-12-31T23:00:00,31,True,7521400.000000025,1123.3511307559197,672.8590618404374,complete_hourly_span
2021,2021 load curve,Unit: GWh,8760,8760,8760,0,2021-01-01T00:00:00,2021-12-31T23:00:00,31,True,8331599.999999994,1265.3303786560045,749.2179120855096,complete_hourly_span
2022,2022 load curve,Unit: GWh,8760,8760,8760,0,2022-01-01T00:00:00,2022-12-31T23:00:00,31,True,8637100.000000019,1375.408493567102,769.4205492759984,complete_hourly_span
2023,2023 load curve,Unit: GWh,8760,8760,8760,0,2023-01-01T00:00:00,2023-12-31T23:00:00,31,True,9223799.999999998,1428.979034861535,826.6204830697337,complete_hourly_span
2024,2024 load curve,Unit: GWh,8784,8784,8784,0,2024-01-01T00:00:00,2024-12-31T23:00:00,31,True,9854000.0,1487.934590145959,879.7030839625611,complete_hourly_span
