iso3,country_name,feasible_host_flag,token_origin_weight,existing_host_burden_p05,existing_host_burden_p50,existing_host_burden_p95,burden_unit,source_id,claim_boundary
USA,United States,1,0.1965829046532086,6.017576460578851,9.67889876469828,15.08237117187269,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
FRA,France,1,0.0193175821418538,5.04879045127531,8.10289123853162,12.79322584461268,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
MYS,Malaysia,1,0.0065892406080182,4.05246217542488,6.59325722184677,10.39688997561882,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
NOR,Norway,1,0.0014938223912823,3.09306700209269,5.17822950928651,8.26691511109353,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
ARE,United Arab Emirates,1,0.0046581840605243,2.9690601567958703,4.79507943745564,7.876174175033491,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
IND,India,1,0.1338984084747702,2.45362696728791,4.05882044337662,6.6003892616034605,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
SAU,Saudi Arabia,1,0.0057655356036636,2.31822785404084,3.98279827862384,6.381312584596451,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
SGP,Singapore,1,0.0235747021828882,2.06857404248708,3.27803304758172,5.38351949906089,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
GBR,United Kingdom,1,0.0283220119782939,1.9573337595076,3.03138578837663,4.90762438484292,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
IRL,Ireland,1,0.0115166017795309,1.8817097239946199,2.94183581828447,4.86375807848974,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used."
