facility_id,provider,operator,iso3,city_or_region,latitude,longitude,capacity_value,capacity_unit,facility_status,ai_relevance_flag,source_id
dc_seed_group_v2:002050,,,AGO,,-14.8135662,13.4414894,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003058,,Paratus Group Holdings LTD,AGO,,-8.958489,13.197341,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003196,,Angola Cables,AGO,,-8.914886,13.181343,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003231,,"ELENDE - TECNOLOGIAS DE INFORMACAO - COMERCIO E SERVICOS, LDA",AGO,,-8.901434,13.181998,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:004207,,RAXIO DATA CENTRES,AGO,,-8.819946,13.231768,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:005534,,Unitel SA,AGO,,-8.914417,13.175889,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:005535,,Unitel SA,AGO,,-8.852825,13.294281,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:006408,,Paratus Group Holdings LTD,AGO,,-8.958489,13.197341,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002331,,,ALB,,42.1213693,19.5612374,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:004091,,Host.AL Shpk,ALB,,41.329279,19.827882,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:004097,,iHost.AL,ALB,,41.337336,19.83892,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:004727,,One Albania,ALB,,41.367987,19.703438,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:005448,,Qendra Nderuniversitare e Sherbimeve dhe Rrjeti Telematik,ALB,,41.332467,19.806942,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:005659,,Albanian Telecommunications Union SH. P.K.,ALB,,41.3701,19.69834,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:005693,,Pronet sh.p.k.,ALB,,41.331356,19.818463,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000265,,Amazon Web Services,ARE,,24.8931279,55.1098614,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001062,,Gulf Data Hub,ARE,,24.2646374,54.4588737,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001063,,Gulf Data Hub,ARE,,24.2640174,54.4597089,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001064,,Amazon Web Services,ARE,,24.2687256,54.463361,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001065,,Amazon Web Services,ARE,,24.7087893,54.7418308,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001087,,,ARE,,24.1476377,54.4621985,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001088,,Khazna Data Centers,ARE,,25.0263827,55.1204661,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001089,,Khazna Data Centers,ARE,,25.026707,55.1241233,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001090,,"Equinix, Inc.",ARE,,25.02618,55.18695,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001779,,Khazna Data Centers Limited,ARE,,24.419344,54.621041,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002299,,,ARE,,25.0280719,55.1199918,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002655,,Khazna Data Centers Limited,ARE,,25.174796,55.318254,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003060,,Khazna Data Centers Limited,ARE,,24.432188,54.812336,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003061,,Khazna Data Centers Limited,ARE,,24.711825,54.876143,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003955,,Khazna Data Centers Limited,ARE,,25.046817,55.117658,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003956,,Khazna Data Centers Limited,ARE,,25.046817,55.117658,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000090,,,ARG,,-30.9821168,-64.5047453,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000155,,,ARG,,-28.4590566,-65.7631121,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000157,,,ARG,,-28.4595565,-65.7658735,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000252,,,ARG,,-34.1665962,-58.9498382,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000378,,,ARG,,-30.998089,-64.5026986,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000470,,,ARG,,-31.0945321,-64.4871188,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:000663,,G2KHosting S.A.,ARG,,-33.328356,-60.222439,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001031,,,ARG,,-31.4139969,-64.4270838,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001168,,Cirion Technologies,ARG,,-32.9104102,-60.725297,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001202,,Cirion,ARG,,-34.590248,-58.467164,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001238,,Claro Argentina,ARG,,-34.5739201,-58.4450119,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001310,,TELECOM ARGENTINA,ARG,,-34.474561,-58.664522,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001337,,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,ARG,,-34.410126,-58.719176,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001388,,,ARG,,-34.5737902,-58.4454125,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001703,,,ARG,,-32.4653975,-63.1921443,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:001990,,,ARG,,-30.9371166,-64.4930966,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002175,,,ARG,,-28.4578848,-65.7659211,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002411,,TELCONET S. A. Argentina,ARG,,-34.605023,-58.376412,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002662,,Telxius Cable,ARG,,-32.884308,-68.844654,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:002667,,Coop Telefonica Villa Gesell Ltda,ARG,,-37.253804,-56.967008,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003002,,Cámara Argentina de Internet (CABASE),ARG,,-38.952432,-68.099568,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003003,,Cámara Argentina de Internet (CABASE),ARG,,-32.945365,-60.643041,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003004,,Cámara Argentina de Internet (CABASE),ARG,,-38.693755,-62.275343,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003005,,Cámara Argentina de Internet (CABASE),ARG,,-32.883969,-68.845426,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003006,,Cámara Argentina de Internet (CABASE),ARG,,-31.634623,-60.703588,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003009,,Cámara Argentina de Internet (CABASE),ARG,,-34.908034,-57.942618,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003010,,Cámara Argentina de Internet (CABASE),ARG,,-37.997176,-57.546243,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
dc_seed_group_v2:003011,,Cámara Argentina de Internet (CABASE),ARG,,-27.434592,-55.887794,,,operational_or_public_baseline_unspecified,False,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627
