province_or_region,year,electricity_demand_twh,thermal_generation_twh,coal_equivalent_mtce,water_stress_metric,grid_region,source_id,water_metric_note
Anhui,2024,359.8,318.257,,0.1620539083557951,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Beijing,2024,138.9,42.952,,13.45,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Chongqing,2024,161.20000000000002,92.817,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Fujian,2024,333.1,192.724,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Gansu,2024,174.6,108.056,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Guangdong,2024,912.1,493.591,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Guangxi,2024,256.3,119.863,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Guizhou,2024,190.1999999999999,163.578,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Hainan,2024,51.89999999999999,31.121,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Hebei,2024,498.6999999999999,290.24,,23.75187331536388,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Heilongjiang,2024,120.8,92.457,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Henan,2024,432.0000000000001,281.206,,21.36,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Hubei,2024,294.4,179.748,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Hunan,2024,237.4000000000001,103.516,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Inner Mongolia,2024,519.2999999999998,618.148,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Jiangsu,2024,848.7000000000003,511.346,,3.994981132075472,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Jiangxi,2024,217.99999999999991,141.56,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Jilin,2024,95.0,67.654,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Liaoning,2024,273.4,127.178,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Ningxia,2024,139.0,173.512,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Qinghai,2024,105.4,13.452000000000002,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Shaanxi,2024,260.0,278.985,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Shandong,2024,832.0,510.519,,10.01,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Shanghai,2024,198.4,101.726,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Shanxi,2024,297.2,368.401,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Sichuan,2024,401.8,97.449,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Tianjin,2024,108.50000000000004,76.357,,7.74522371967655,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Tibet,2024,15.4,0.37,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Xinjiang,2024,423.29999999999995,388.741,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Yunnan,2024,279.2,60.524,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
Zhejiang,2024,678.0,340.569,,0.0,,china_31province_hourly_load_annual_province_stats_20260706,"water_strict_observed_in_100m3 if available, else water_main_model_in_100m3 proxy"
