iso3,country,n_draws,token_origin_demand_p05,token_origin_demand_p50,token_origin_demand_p95,compute_execution_received_p05,compute_execution_received_p50,compute_execution_received_p95,displacement_index_p05,displacement_index_p50,displacement_index_p95,outsourcing_ratio_p05,outsourcing_ratio_p50,outsourcing_ratio_p95,electricity_twh_p05,electricity_twh_p50,electricity_twh_p95,direct_co2_mt_p05,direct_co2_mt_p50,direct_co2_mt_p95,role_envelope,claim_boundary
ABW,Aruba,1000,6.585758428203803e-06,1.4236135472682143e-05,3.028881950591692e-05,0.0,0.0,0.0,-3.028881950591692e-05,-1.4236135472682143e-05,-6.585758428203806e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
AGO,Angola,1000,0.0004793874669044,0.0010626509431545,0.0023071867317807,0.0,0.0,0.0,-0.0023071867317807,-0.0010626509431545,-0.0004793874669044,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
ALB,Albania,1000,0.0001253898255891,0.0002771750226996,0.000599989561529,0.0,0.0,0.0,-0.000599989561529,-0.0002771750226996,-0.0001253898255891,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
AND,Andorra,1000,1.54102699547881e-05,3.39885794538261e-05,7.597977967638122e-05,0.0,0.0,0.0,-7.597977967638122e-05,-3.39885794538261e-05,-1.54102699547881e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
ARE,United Arab Emirates,1000,0.0029547916353711,0.0046581840605243,0.0073985971779681,0.0296906015679587,0.0479507943745564,0.0787617417503349,0.0241960873709273,0.0431121487670001,0.0746200450009861,0.6582909553921314,0.8114013486371854,0.8926898076441284,1.0071841884345527,2.130089905299749,4.641397787517477,0.4727195724075661,0.9865512923855422,2.219115149893598,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
ARG,Argentina,1000,0.005097338799648,0.0081211325018251,0.0129940497582375,0.0,0.0,0.0,-0.0129940497582375,-0.0081211325018251,-0.005097338799648,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
ARM,Armenia,1000,0.0001758278017986,0.0003899189667116,0.0008251483895198,0.0,0.0,0.0,-0.0008251483895198,-0.0003899189667116,-0.0001758278017986,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
ATG,Antigua and Barbuda,1000,7.392851071100092e-06,1.5964620852778027e-05,3.573863940450645e-05,0.0,0.0,0.0,-3.5738639404506456e-05,-1.5964620852778027e-05,-7.392851071100092e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
AUS,Australia,1000,0.0062337356510574,0.0092099832362662,0.0144962993958709,0.0148366159082654,0.0248363758031276,0.0391004738659907,0.0041856078699218,0.0151700991137149,0.0299745327170722,0.7094873017975601,0.8446671839090624,0.920335235519825,0.5095898144678133,1.1005093216308397,2.353605751625145,0.2728970296514859,0.5699925243466915,1.2795807566747426,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
AUT,Austria,1000,0.002260328507552,0.0036125893322529,0.0055833783372596,0.0,0.0,0.0,-0.0055833783372596,-0.0036125893322529,-0.002260328507552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
