left_out_iso3,left_out_country,spearman_rho,metric
ARE,United Arab Emirates,0.4918258212375859,capacity-prior consistency
AUS,Australia,0.4896867838044308,capacity-prior consistency
BEL,Belgium,0.4823529411764706,capacity-prior consistency
BHR,Bahrain,0.45760122230710465,capacity-prior consistency
BRA,Brazil,0.4899923605805958,capacity-prior consistency
CAN,Canada,0.4896867838044308,capacity-prior consistency
CHE,Switzerland,0.4829640947288006,capacity-prior consistency
CHL,Chile,0.44965622612681433,capacity-prior consistency
CHN,China,0.4808250572956455,capacity-prior consistency
DEU,Germany,0.4902979373567609,capacity-prior consistency
ESP,Spain,0.4863254392666157,capacity-prior consistency
FIN,Finland,0.4826585179526356,capacity-prior consistency
FRA,France,0.4820473644003056,capacity-prior consistency
GBR,United Kingdom,0.4878533231474408,capacity-prior consistency
HKG,Hong Kong,0.5046600458365164,capacity-prior consistency
IDN,Indonesia,0.4921313980137509,capacity-prior consistency
IND,India,0.4701298701298701,capacity-prior consistency
IRL,Ireland,0.5223834988540871,capacity-prior consistency
ISR,Israel,0.5346065699006874,capacity-prior consistency
ITA,Italy,0.4832696715049656,capacity-prior consistency
JPN,Japan,0.4893812070282658,capacity-prior consistency
KOR,South Korea,0.493659281894576,capacity-prior consistency
MEX,Mexico,0.4789915966386554,capacity-prior consistency
MYS,Malaysia,0.60244461420932,capacity-prior consistency
NLD,Netherlands,0.494881588999236,capacity-prior consistency
NOR,Norway,0.5428571428571428,capacity-prior consistency
NZL,New Zealand,0.4826585179526356,capacity-prior consistency
POL,Poland,0.4875477463712758,capacity-prior consistency
QAT,Qatar,0.46860198624904503,capacity-prior consistency
SAU,Saudi Arabia,0.575553857906799,capacity-prior consistency
SGP,Singapore,0.49396485867074097,capacity-prior consistency
SWE,Sweden,0.4832696715049656,capacity-prior consistency
TWN,Taiwan,0.4698242933537051,capacity-prior consistency
USA,United States,0.44721161191749426,capacity-prior consistency
ZAF,South Africa,0.493659281894576,capacity-prior consistency
ARE,United Arab Emirates,0.8969363613922363,public compute-side plausibility
AUS,Australia,0.9116051673025694,public compute-side plausibility
BEL,Belgium,0.90854916607125,public compute-side plausibility
BHR,Bahrain,0.8948815889992361,public compute-side plausibility
BRA,Brazil,0.9097715665637778,public compute-side plausibility
CAN,Canada,0.9073267655787223,public compute-side plausibility
CHE,Switzerland,0.9067155653324582,public compute-side plausibility
CHL,Chile,0.8960195610228405,public compute-side plausibility
CHN,China,0.9409427791232355,public compute-side plausibility
DEU,Germany,0.9027427637317431,public compute-side plausibility
ESP,Spain,0.9018259633623473,public compute-side plausibility
FIN,Finland,0.9112995671794374,public compute-side plausibility
FRA,France,0.8947971605303129,public compute-side plausibility
GBR,United Kingdom,0.898464362007896,public compute-side plausibility
HKG,Hong Kong,0.8954083607765767,public compute-side plausibility
IDN,Indonesia,0.8972419615153684,public compute-side plausibility
IND,India,0.8969363613922363,public compute-side plausibility
IRL,Ireland,0.898464362007896,public compute-side plausibility
ISR,Israel,0.9015203632392155,public compute-side plausibility
ITA,Italy,0.9067155653324582,public compute-side plausibility
JPN,Japan,0.9054931648399308,public compute-side plausibility
KOR,South Korea,0.913744368164493,public compute-side plausibility
MEX,Mexico,0.8978531617616322,public compute-side plausibility
MYS,Malaysia,0.8978531617616322,public compute-side plausibility
NLD,Netherlands,0.9079379658249861,public compute-side plausibility
NOR,Norway,0.8960195610228405,public compute-side plausibility
NZL,New Zealand,0.90854916607125,public compute-side plausibility
POL,Poland,0.903965164224271,public compute-side plausibility
QAT,Qatar,0.8948815889992361,public compute-side plausibility
SAU,Saudi Arabia,0.8969363613922363,public compute-side plausibility
SGP,Singapore,0.9042707643474029,public compute-side plausibility
SWE,Sweden,0.9018259633623473,public compute-side plausibility
TWN,Taiwan,0.9033539639780072,public compute-side plausibility
USA,United States,0.8947971605303129,public compute-side plausibility
ZAF,South Africa,0.9064099652093264,public compute-side plausibility
