baseline_rank,pathway_key,origin_iso3,origin_country,compute_iso3,compute_country,upstream_source_iso3,upstream_source_name,baseline_chain_fossil_exposure_twh_proxy,baseline_origin_to_compute_electricity_twh_proxy,baseline_origin_to_compute_direct_co2_mt_proxy,observed_combo_count,top10_count,top25_count,top50_count,median_rank,rank_p25,rank_p75,metric_p05,metric_p50,metric_p95,scenario_count,demand_source_count,combo_count,top10_frequency,top25_frequency,top50_frequency,rank_iqr,pathway_stability_class,claim_boundary,persistence_category,motif_class,source_block
1.0,USA>USA>CAN,USA,United States,USA,United States,CAN,Canada,2.554844234360663,4.788788378176272,1.8408102525709584,20.0,20.0,20.0,20.0,1.0,1.0,1.0,0.5538969570072828,1.6697614386113744,4.545784035083489,5.0,4.0,20.0,1.0,1.0,1.0,0.0,highly_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",high persistence,USA -> USA -> CAN,top_motif_rows
2.0,USA>CAN>USA,USA,United States,CAN,Canada,USA,United States,0.6264507593597267,0.8060184627323242,0.1537238412123088,20.0,20.0,20.0,20.0,2.0,2.0,2.0,0.207156787016953,0.5916677509919983,1.8875983741867195,5.0,4.0,20.0,1.0,1.0,1.0,0.0,highly_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",high persistence,USA -> CAN -> USA,top_motif_rows
3.0,USA>USA>MEX,USA,United States,USA,United States,MEX,Mexico,0.3857431050432602,4.788788378176272,1.8408102525709584,20.0,12.0,18.0,20.0,7.0,5.0,15.0,0.0836301208490193,0.2521088970313038,0.686345110580877,5.0,4.0,20.0,0.6,0.9,1.0,10.0,highly_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",high persistence,USA -> USA -> MEX,top_motif_rows
4.0,USA>ARE>IND,USA,United States,ARE,United Arab Emirates,IND,India,0.3309139569376753,0.6324430296636363,0.2956734407980466,20.0,8.0,12.0,15.0,14.0,4.75,48.75,0.0331109535780497,0.1490119131931714,0.6924900922667099,5.0,4.0,20.0,0.4,0.6,0.75,44.0,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,USA -> ARE -> IND,top_motif_rows
5.0,IND>IND>RUS,IND,India,IND,India,RUS,Russian Federation,0.2741515314247244,1.3401166840038023,0.8980523934514681,20.0,11.0,14.0,16.0,8.5,4.0,34.0,0.0587319908778855,0.2060922719941906,0.5534592558503935,5.0,4.0,20.0,0.55,0.7,0.8,30.0,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,IND -> IND -> RUS,top_motif_rows
6.0,IND>IND>IDN,IND,India,IND,India,IDN,Indonesia,0.249270481302256,1.3401166840038023,0.8980523934514681,20.0,9.0,13.0,16.0,11.5,6.0,38.75,0.0534016773785197,0.1873880461863228,0.5032291972620146,5.0,4.0,20.0,0.45,0.65,0.8,32.75,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,IND -> IND -> IDN,top_motif_rows
7.0,USA>MEX>USA,USA,United States,MEX,Mexico,USA,United States,0.2358248375427279,0.2554727199201467,0.1210991786965479,20.0,15.0,17.0,20.0,6.0,4.75,10.5,0.0765308437041032,0.2348108276712611,0.6098181927532897,5.0,4.0,20.0,0.75,0.85,1.0,5.75,highly_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",high persistence,USA -> MEX -> USA,top_motif_rows
8.0,IND>ARE>IND,IND,India,ARE,United Arab Emirates,IND,India,0.2176715543850539,0.4160140557407931,0.1944907311993781,19.0,11.0,12.0,17.0,8.0,4.5,39.0,0.0485274234951963,0.172227425921907,0.3459467130252627,5.0,4.0,20.0,0.55,0.6,0.85,34.5,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,IND -> ARE -> IND,top_motif_rows
9.0,USA>USA>SAU,USA,United States,USA,United States,SAU,Saudi Arabia,0.2067457350062565,4.788788378176272,1.8408102525709584,20.0,5.0,11.0,15.0,22.0,12.25,47.25,0.0448230197184042,0.1351221539332715,0.3678586149688408,5.0,4.0,20.0,0.25,0.55,0.75,35.0,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,USA -> USA -> SAU,top_motif_rows
10.0,IND>MYS>IDN,IND,India,MYS,Malaysia,IDN,Indonesia,0.1835504284187701,0.7157234042857543,0.4308440176778956,20.0,7.0,11.0,15.0,22.5,10.0,40.75,0.0696979025196348,0.114095846973006,0.2838522069907786,5.0,4.0,20.0,0.35,0.55,0.75,30.75,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,IND -> MYS -> IDN,top_motif_rows
