province,grid_support_out_twh_proxy,grid_support_in_twh_proxy,grid_interprovincial_export_twh_proxy,coalele_source_thermal_burden_twh_proxy,coalele_destination_thermal_burden_twh_proxy,water_main_model_in_100m3,water_main_model_out_100m3,water_strict_observed_in_100m3,generation_total_gwh,generation_total_share,generation_thermal_gwh,generation_thermal_share,generation_hydro_gwh,generation_hydro_share,generation_residual_nonhydro_nonthermal_gwh,generation_residual_nonhydro_nonthermal_share,top10_grid_support,top10_coalele_source,has_main_model_water_receiver_context,has_strict_observed_water_receiver_context,high_thermal_generation_share_partial,hydro_support_candidate_partial,multi_layer_visibility_score,china_world_contribution_role_screen,claim_boundary,_grid_norm,_coal_norm,_water_norm,_thermal_norm,_combined_salience
Shandong,0.0513535956816521,0.0642439601153281,0.0,0.0091717228234604,0.0405199687737517,7.052867924528302,0.0,10.01,677325.0,1.0,510519.0,0.7537282692946516,5453.0,0.0080507880264274,,,True,True,True,True,True,False,4,grid_and_coalele_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.5560629175949465,0.058544607112647376,0.2219767703562239,0.7987477624845373,2.635332057548355
Inner Mongolia,0.0923521314885803,0.0791424505521427,0.0176514441402726,0.1566621295418863,0.0586310492856014,0.0,0.0,0.0,834400.0,1.0,618148.0,0.7408293384467881,5544.0,0.0066442953020134,,,True,True,False,False,True,False,3,grid_and_coalele_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",1.0,1.0,0.0,0.7850783904138632,3.5350783904138634
Xinjiang,0.0632254155645034,0.0519587640188938,0.0112666515456096,0.037994699205047,0.036871902409025,0.0,0.0,0.0,547802.0,1.0,388741.0,0.7096377888361123,38246.0,0.0698171967243639,,,True,True,False,False,True,False,3,grid_and_coalele_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.6846124127879112,0.2425263802818949,0.0,0.7520237983613882,2.4291625914311945
Shanxi,0.057301406064237,0.0439104965731829,0.0136056359055606,0.134507625051414,0.0349426629025165,0.0,0.0,0.0,462949.0,1.0,368401.0,0.7957701604280386,4833.0,0.0104395948581809,,,True,True,False,False,True,False,3,grid_and_coalele_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.6204665246012491,0.8585841737549667,0.0,0.8433007769347406,3.072351475290956
Jiangsu,0.0501481305583782,0.0645675867228112,0.0044473564413668,0.002593663610207,0.0459796058446674,3.994981132075472,0.0,0.0,680737.0,1.0,511346.0,0.7511652811585091,3272.9999999999995,0.0048080242443116,,,True,False,True,False,True,False,3,grid_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.5430099960884953,0.016555779101123092,0.12573509369828068,0.7960316894348505,2.2313325583227495
Shaanxi,0.0444487350576692,0.0320028016191229,0.0126743515185052,0.1005854621276817,0.0264615970365406,0.0,0.0,0.0,337406.0,1.0,278985.0,0.8268525159600006,8885.0,0.0263332602265519,,,True,True,False,False,True,False,3,grid_and_coalele_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.48129625533510784,0.6420534587511046,0.0,0.8762396528470596,2.749589366933272
Anhui,0.0365510267434631,0.036644737776867,0.0057771060327353,0.0233460636017641,0.0301865279067267,0.1620539083557951,0.0,0.0,386346.0,1.0,318257.0,0.8237616022943165,9452.0,0.0244651167606238,,,False,True,True,False,True,False,3,coalele_source_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.3957789187354357,0.14902174297025708,0.005100365352840308,0.872964121763678,2.1728651488222113
Henan,0.0297317997144149,0.0363506093742278,0.0,0.0137013147795477,0.0266722578499105,21.36,0.0,0.0,383245.0,1.0,281206.0,0.7337499510756826,14608.000000000002,0.0381166094795757,,,False,True,True,False,True,False,3,coalele_source_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.32193950735280374,0.08745773352892168,0.6722689075630252,0.7775761577754039,2.609242306220154
Sichuan,0.0592122986961584,0.050339208238479,0.0195208723798314,0.003843386283424,0.0092429921666527,0.0,0.0,0.0,530727.0,1.0,97449.0,0.183614174519103,404543.0,0.7622431118070118,,,True,False,False,False,False,True,2,grid_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.6411579001127897,0.02453296335663818,0.0,0.1945812795303889,1.3602721429998168
Yunnan,0.0576963408651745,0.0440703180367262,0.0136260228284483,0.0083724905117872,0.0057406731510279,0.0,0.0,0.0,464634.0,1.0,60524.0,0.130261668323885,330433.0,0.7111683604729744,,,True,False,False,False,False,True,2,grid_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.6247429261804193,0.05344297652706598,0.0,0.13804207743007146,1.3162279801375567
Hubei,0.0379709540878511,0.0331845319540092,0.0124560600285493,0.0001021782802179,0.0170490139044173,0.0,0.0,0.0,349865.0,1.0,179748.0,0.5137638803538508,130591.0,0.3732611150015006,,,True,False,False,False,False,True,2,grid_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.41115406299578866,0.0006522206771776384,0.0,0.5444505222844289,1.4562568059573953
Hebei,0.0334301417380672,0.0411132889878119,0.0007647936536003,0.0090025152490522,0.0266240672609126,23.75187331536388,0.0,0.0,433458.0,1.0,290240.0,0.6695919789229868,6538.0,0.0150833529430763,,,False,True,True,False,False,False,2,coalele_source_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.36198560010713954,0.05746452748585435,0.7475489665868468,0.7095860892186444,2.3765851833984852
Ningxia,0.030175909689229,0.0224605591750342,0.0077153505141948,0.0117267141504842,0.0164575322150086,0.0,0.0,0.0,236802.0,1.0,173512.0,0.7327302978859975,1984.0,0.0083783076156451,,,False,True,False,False,True,False,2,coalele_source_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.3267483836359572,0.07485353470411535,0.0,0.7764956016427098,1.6780975199827823
Tianjin,0.0067337335876708,0.0083462846792131,0.0,0.0,0.0061409411814925,7.74522371967655,0.0,0.0,87995.0,1.0,76357.0,0.8677424853684869,14.000000000000002,0.0001590999488607,,,False,False,True,False,True,False,2,water_receiver_context_only,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.07291367810501971,0.0,0.24376746670684385,0.9195719423519416,1.736253087163805
Beijing,0.0017255294838399,0.0043217241334582,1.053381105593905e-05,0.0001975460777891,0.0040739771525832,31.773,0.0,13.45,45564.0,1.0,42952.0,0.94267404090949,944.0,0.0207181107892195,,,False,False,True,True,True,False,2,water_receiver_context_only,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.01868424102429372,0.0012609689295477288,1.0,0.998979090479571,2.5189243004334125
Guangdong,0.0507074092038574,0.0697571840855987,0.0,0.0,0.0290456617120318,0.0,0.0,0.0,735451.0,1.0,493591.0,0.6711405654489557,42957.0,0.0584090578434185,,,True,False,False,False,False,False,1,grid_support_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.5490659326052216,0.0,0.0,0.7112271713871412,1.5102931039923628
Guizhou,0.0276081125044476,0.024244489196588,0.0152130199569958,0.0149209462095565,0.0155152969516035,0.0,0.0,0.0,255610.0,1.0,163578.0,0.6399514885959079,61660.0,0.241226869058331,,,False,True,False,False,False,False,1,coalele_source_screen,"China world-contribution module for the public-evidence-constrained burden-allocation framework. The module screens China's role as token-demand origin, modeled compute host and domestic infrastructure support context. It does not show observed provider routing, measured AI electricity, official 2024 dispatch, observed coal transport, physical fuel procurement, AI-induced water demand, causal burden transfer or fairness responsibility.",0.2989439665273069,0.09524284045664737,0.0,0.6781751997878228,1.3223620067717772
