iso3,country_name,feasible_host_flag,token_origin_weight,existing_host_burden_p05,existing_host_burden_p50,existing_host_burden_p95,burden_unit,source_id,claim_boundary,compute_share_p50,host_burden_pct,full_public_plausibility_score,shared_removed_plausibility_score,capacity_prior_comparator_score,class_score__AI cluster evidence,class_score__capacity prior,class_score__cloud GPU regions,class_score__data-center footprint,class_score__hyperscale MW,class_score__public load/capacity,loo_without__AI cluster evidence,loo_without__data-center footprint,loo_without__hyperscale MW,loo_without__public load/capacity
USA,United States,1,0.1965829046532086,6.017576460578851,9.67889876469828,15.08237117187269,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0967889876469828,9.67889876469828,0.9705547451299346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8822189805197382,0.9672830501443719,0.9672830501443719,0.9345661002887433,1.0
FRA,France,1,0.0193175821418538,5.04879045127531,8.10289123853162,12.79322584461268,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0810289123853162,8.10289123853162,0.713087113380609,0.7036712758073224,0.26530131010462926,0.5830893778452753,0.26530131010462926,0.4362085839710631,0.804520943010365,0.7255952572549672,0.700994759219252,0.7275313062178682,0.7029277989773028,0.6977993819786155,0.7171178981010615
MYS,Malaysia,1,0.0065892406080182,4.05246217542488,6.59325722184677,10.39688997561882,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0659325722184677,6.59325722184677,0.3516792744402772,0.06437144899641456,0.0007405253472729775,0.0,0.0007405253472729775,0.0,0.5983783259260771,0.07607534881394448,1.0,0.39075474937808574,0.3242682687196327,0.6885285168724615,0.1355723659203696
NOR,Norway,1,0.0014938223912823,3.09306700209269,5.17822950928651,8.26691511109353,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0517822950928651,5.17822950928651,0.5298420865050881,0.6076900097528608,0.13469791287144747,0.5774816722125861,0.13469791287144747,0.34568712404340524,0.3603708600086237,0.6131824347601833,0.39522597665946524,0.5245487992042551,0.5486722227824731,0.42798166085997164,0.5747141231202958
ARE,United Arab Emirates,1,0.0046581840605243,2.9690601567958703,4.79507943745564,7.876174175033491,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0479507943745564,4.79507943745564,0.42221619410075384,0.446762330839565,0.2468910727486632,0.35767859430335297,0.2468910727486632,0.4362085839710631,0.3786049552888743,0.462959373846149,0.3758407341045966,0.4293870385226873,0.4270618873020738,0.3724189744119375,0.43767468076613963
IND,India,1,0.1338984084747702,2.45362696728791,4.05882044337662,6.6003892616034605,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0405882044337662,4.05882044337662,0.4376593894146492,0.4954743261599726,0.46630438953378783,0.4328090042174366,0.46630438953378783,0.6543128759565945,0.5544651581858375,0.5068680210586155,0.24061824636833296,0.4381983211032283,0.42468097066229493,0.35307106184980147,0.503339770430088
SAU,Saudi Arabia,1,0.0057655356036636,2.31822785404084,3.98279827862384,6.381312584596451,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0398279827862384,3.98279827862384,0.4852573599785566,0.5650161568003769,0.05549348875143029,0.5004732953903743,0.05549348875143029,0.21810429198553152,0.0946512388222185,0.5767512225112864,0.4341269367043591,0.4835667004883547,0.5286580401070387,0.373431527994109,0.5023008344032891
SGP,Singapore,1,0.0235747021828882,2.06857404248708,3.27803304758172,5.38351949906089,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0327803304758172,3.27803304758172,0.14100290499720536,0.04995564741710092,0.2941452620765299,0.32471170821115597,0.2941452620765299,0.4362085839710631,0.0,0.0,0.4341269367043591,0.12059081575121086,0.1566698944413393,0.3133397888826786,0.04329489442815413
GBR,United Kingdom,1,0.0283220119782939,1.9573337595076,3.03138578837663,4.90762438484292,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.0303138578837663,3.03138578837663,0.2462603883376242,0.2640772236247374,0.2890603323283181,0.0,0.2890603323283181,0.5064224831767222,0.746101929815449,0.31209126428378053,0.0,0.27362265370847133,0.19072243928453256,0.16580042884787755,0.3283471844501656
IRL,Ireland,1,0.0115166017795309,1.88170972399462,2.94183581828447,4.86375807848974,percent of modeled compute-host burden,global_token_flow_uncertainty_country_envelope_2024_no_mrio,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and no MRIO is used.",0.029418358182844703,2.94183581828447,0.16260266239613425,0.0,0.18620279425451935,0.0,0.18620279425451935,0.34568712404340524,0.6034053797174784,0.0,0.40904849769754553,0.1806696248845936,0.11362458269376265,0.36133924976918713,0.08045405062899713
