province,_grid_norm,_coal_norm,_water_norm,_thermal_norm,multi_layer_visibility_score,_combined_salience
Ningxia,0.3267483836359572,0.07485353470411535,0.0,0.7764956016427098,2,1.6780975199827823
Tianjin,0.07291367810501971,0.0,0.24376746670684385,0.9195719423519416,2,1.736253087163805
Anhui,0.3957789187354357,0.14902174297025708,0.005100365352840308,0.872964121763678,3,2.1728651488222113
Jiangsu,0.5430099960884953,0.016555779101123092,0.12573509369828068,0.7960316894348505,3,2.2313325583227495
Hebei,0.36198560010713954,0.05746452748585435,0.7475489665868468,0.7095860892186444,2,2.3765851833984852
Xinjiang,0.6846124127879112,0.2425263802818949,0.0,0.7520237983613882,3,2.4291625914311945
Beijing,0.01868424102429372,0.0012609689295477288,1.0,0.998979090479571,2,2.5189243004334125
Henan,0.32193950735280374,0.08745773352892168,0.6722689075630252,0.7775761577754039,3,2.609242306220154
Shandong,0.5560629175949465,0.058544607112647376,0.2219767703562239,0.7987477624845373,4,2.635332057548355
Shaanxi,0.48129625533510784,0.6420534587511046,0.0,0.8762396528470596,3,2.749589366933272
Shanxi,0.6204665246012491,0.8585841737549667,0.0,0.8433007769347406,3,3.072351475290956
Inner Mongolia,1.0,1.0,0.0,0.7850783904138632,3,3.5350783904138634
