table,field_name,dtype_or_storage_type,non_null_count,missing_count,semantic_role,unit,time_grain,allowed_transforms,missingness_rule,join_key_role,claim_use,verified_status
2015 load curve,timestamp,datetime64[ns],8760,0,hourly_timestamp,datetime_local_as_provided,hourly,hourly_coverage_audit|daily_peak|annual_sum|load_shape_summary,timestamps must remain explicit; do not invent missing hours,year_specific_time_index,China provincial hourly benchmark context,observed_in_sheet_header:Unit: GWh
2015 load curve,anhui,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Anhui,China provincial hourly benchmark context,observed_in_sheet_header:Anhui|安徽
2015 load curve,beijing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Beijing,China provincial hourly benchmark context,observed_in_sheet_header:Beijing|北京
2015 load curve,chongqing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Chongqing,China provincial hourly benchmark context,observed_in_sheet_header:Chongqing|重庆
2015 load curve,fujian,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Fujian,China provincial hourly benchmark context,observed_in_sheet_header:Fujian|福建
2015 load curve,guangdong,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangdong,China provincial hourly benchmark context,observed_in_sheet_header:Guangdong|广东
2015 load curve,gansu,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Gansu,China provincial hourly benchmark context,observed_in_sheet_header:Gansu|甘肃
2015 load curve,guangxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangxi,China provincial hourly benchmark context,observed_in_sheet_header:Guangxi|广西
2015 load curve,guizhou,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guizhou,China provincial hourly benchmark context,observed_in_sheet_header:Guizhou|贵州
2015 load curve,hainan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hainan,China provincial hourly benchmark context,observed_in_sheet_header:Hainan|海南
2015 load curve,hebei,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hebei,China provincial hourly benchmark context,observed_in_sheet_header:Hebei|河北
2015 load curve,henan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Henan,China provincial hourly benchmark context,observed_in_sheet_header:Henan|河南
2015 load curve,heilongjiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Heilongjiang,China provincial hourly benchmark context,observed_in_sheet_header:Heilongjiang|黑龙江
2015 load curve,hunan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hunan,China provincial hourly benchmark context,observed_in_sheet_header:Hunan|湖南
2015 load curve,hubei,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hubei,China provincial hourly benchmark context,observed_in_sheet_header:Hubei|湖北
2015 load curve,jilin,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jilin,China provincial hourly benchmark context,observed_in_sheet_header:Jilin|吉林
